title,sub_title,Rank,Horse / Owner,Points,Total Comps
2021 Points Display,CHILDRENS HUNTER-PONY S&M,,"ROLLINGWOODS UP TO SNUFF/ MONAHAN-RIORDAN, KELLIE JEAN - NH",132,(3 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,25,"HAPPY FEET/ GERVASIO , BROOKLYN - CT",118,(3 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,26,"CLOVERMEADE'S A DAY IN ROAN/ PATINO, AVA - CT",115.6,(3 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,27,"CAREBEAR/ PLETKA, JESSICA - MA",108.75,(6 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,28,"ODYSSEY SAKI/ GOMEZ, SUSAN - MA",103.5,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,29,"CLOVERMEADE BRILLIANTLY BUNNY/ SOBKOWIAK, SOPHIE - NC",101.5,(2 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,30,"PINE CREEK'S APOLO/ SOBKOWIAK, SOPHIE - NC",100.5,(3 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,31,"WISHES N' KISSES/ FRANCIS, CHELSEA - RI",74.7,(2 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,32,KILLY GORDONS GIDDY UP/ DAWES STREET LLC - MA,65,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,33,"ENAMORED/ VALIQUETTE, VICTORIA - CT",62,(2 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,34,"SPOTIFY/ BRAYMAN, WENDY - RI",60,(2 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,35,"BELLA NOTTE/ AMARAL-MCKEE, CHERYL L - MA",57.5,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,,"HIDDEN SPRINGS COSMOS/ EVANS, LINDA - MA",57.5,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,37,"SPRING FLING/ CONNOR, JESSICA - CT",51.5,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,38,"SOPRANO/ STIEGLER, ALEXA - CT",43.38,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,39,"WISEWOOD GLAMOUR GIRL/ AMARAL-MCKEE, CHERYL L - MA",39,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,40,"ROSMEL'S FRENCH VANILLA/ SMITH REZAC, JAI - MA",36.5,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,41,CELEBRITY/ WEST LANE ENTERPRISES LLC - CT,32,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,42,"BELIEVE/ HIRSCH, SARAH - MA",31,(2 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,43,"NEVER ENOUGH SWEET DREAMS/ SOBKOWIAK, SOPHIE - NC",27.5,(2 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,,"SWEET SPOT/ DUBSON, MOLLY ROSE - CT",27.5,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,45,"BE DAZZLED/ SMITH REZAC, JAI - MA",27,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,46,"AS IMAGINED/ KENNEY, GRACE - NH",25,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,47,"L&L BLACK TIE AFFAIR/ MORSEY, ELIZABETH - CT",22,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,48,"SPLASH OF COLOR/ BASSET EQUINE, LLC - CT",18.5,(13 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,49,"BUTTERFLY KISSES/ WALLACE, MEG - CT",16.5,(3 comps)
2021 Points Display,CHILDRENS HUNTER-PONY S&M,50,"SHENANDOAH GINGER SNAP/ SIGONA, JOY - MA",7,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,1,"DAVENTRY'S EMERALD CITY/ CHRISTOS, ZOE - CT",1031.13,(18 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,2,"MACKAY'S SHOW N TELL/ GROVE, PIPER - CT",743.93,(11 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,3,"SUN KISSED/ LAMOTHE, THERESA M. - CT",637.65,(11 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,4,"SALHAM'S BIDDLE BUG/ HAMMER, KATE - CT",517.91,(9 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,5,"COLORFUL SCENARIO/ KLANE, ELIANA - CT",472.25,(12 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,6,"BLUE JAMES BLUE/ CARREIRO, ELIZABETH - MA",381.4,(7 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,7,"MIAMI/ AMARAL-MCKEE, CHERYL L - MA",291.7,(9 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,8,"RISE AND SHINE/ STENMARK, LINDSEY - NH",282.5,(4 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,9,"IMAJACRES BELIEVE IN MAGIC/ TALBOTT, CAROLINE - MA",241.5,(5 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,10,"LUCY VUITTON/ DUBSON, MOLLY ROSE - CT",240.35,(5 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,11,SUMMERLAND/ SAGE HILL FARM - CT,232.48,(5 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,12,"BACK IN BLACK/ KENDALL, LILLY - MA",221,(5 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,13,"HUDSON/ STANTIAL, AVA - CT",152.5,(5 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,14,"SPUDD WEBB/ ABBOTT, ELIZABETH - CT",136,(3 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,15,"I'M A FLIRT/ MILLER, OLIVIA - MA",127.3,(3 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,16,HOLIDAY LIGHTS/ DANA HALL RIDING CENTER - MA,125,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,17,"BECAUSE OF WINN-DIXIE/ BURKE, JENNIFER - MA",121.25,(3 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,18,"J.L. BEAN/ VALIQUETTE, LILLIAN - CT",84.13,(2 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,19,EVERMORE/ SO FETCH SYNDICATE - MA,73,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,20,"MR. FOXTROT/ PETRONELLI, LEAH - CT",64,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,21,"BLUE ON BYE/ KINNEY, ELIZABETH - MA",57.2,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,22,"GLYNMAGIC ANTE UP/ TAYLOR, KIANNA - RI",55,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,,ROSMEL'S REMARKABLE/ STARBUCK EQUESTRIAN - CT,55,(2 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,24,"PJ FUNNY BUNNY/ FERRIGNO, ELLIE - CT",44.63,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,25,"LADYLIKE/ YATES-MACK, BARRETT E - MA",44,(2 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,26,"OVER THE MOON/ PACHECO, AVRIL - MA",36,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,27,"CELTIC CREEK'S ALMOST IRISH/ AVRATIN, ERICA - MA",25,(1 comps)
2021 Points Display,CHILDRENS HUNTER-PONY LARGE,28,"KOKOMO/ LYONS, WILLA - MA",21,(1 comps)
2021 Points Display,LOW CHILDREN'S HUNTER,1,SHINE ON/ STARBUCK EQUESTRIAN - CT,46.6,(1 comps)
2021 Points Display,LOW CHILDREN'S HUNTER,2,"QUATTRO/ WELL-A-WAY FARM, LLC - CT",40,(1 comps)
2021 Points Display,LOW CHILDREN'S HUNTER,3,"CARLSSON/ FINERMAN, GRACE - CT",36,(1 comps)
2021 Points Display,LOW CHILDREN'S HUNTER,4,"HUDSON BAY JF/ HERBERT, LINDSEY - CT",29,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,1,"CALIMERO/ SMITH, SYDNEY - CT",930.35,(11 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,2,"ROYAL SCANDAL/ PIERCE, LAUREN - CT",704.58,(14 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,3,"RIGHT-OFF/ LIVELY, KELLY - MA",659.2,(12 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,4,"CALL ME/ KOGOS, LESLIE - CT",600.75,(7 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,5,"E PLEASURE/ WRIGHT START OUTSOURCING, LLC - CT",586.15,(9 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,6,"HEARTCORE/ SHEPTOFF, JEAN - MA",526.15,(14 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,7,CASPER II/ NORTH WIND FARM LLC - VT,496.01,(6 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,8,"RANSOM/ ROCHE, JENNIFER - CT",394.1,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,9,"CABAN Z/ STONE, BLAIR - VT",373.11,(5 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,10,"IRONIC HX/ CATANI, DEIRDRE - MA",338,(9 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,11,"BERGHOFF CBF/ HOELZER, CATHERINE  - CT",336.46,(7 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,12,"PIRELLI/ RUSCONI, KIARA - CT",333.25,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,13,"CHRISTOPHER ROBIN/ COHEN, SOPHIE - CT",277.5,(7 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,14,"CIMORENE/ CARLTON, ALEXANDRA - CT",254,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,15,"VDL ETOLON/ GEARY, CAITLIN  - MA",251.75,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,16,"COLANDER/ WAHLBERG, SKYLER - CT",240.5,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,17,NEXT GENERATION/ STARGAZER HILL FARM - MA,209.13,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,18,"POSITANO/ SMITH, AMANDA - FL",207.75,(4 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,19,"PS COPY THAT/ SETIAN, SARA - CT",191.75,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,20,"CENTER STAGE/ SOUZA, CATHERINE - MA",190.5,(7 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,21,"BLISS/ STERLING, JENNA - MA",165.7,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,22,"BY MY SIDE/ ABBATIELLO, KRISTEN - CT",161.35,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,23,"CESANDRO/ MAOUNIS, LEXI - CT",159.5,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,24,"HEAVENLY/ GOLDEN FARM,  LLC - FL",159,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,25,"TITLETOWN/ ERNENWEIN, MONIKA - MA",157,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,26,"DENZEL GGH/ BONANNO, VICTORIA - MA",154,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,27,"MISS MO/ KASPER, CHELSEA - NH",146.6,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,28,"MTM MAYBELLINE/ FYFE, LAURA - MA",145.5,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,29,"WEST INDIGO/ O'NEIL, JULIA - MA",138.6,(4 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,30,"MTM BLUEBERRY/ MALMBORG, KATHLEEN  - RI",131,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,31,"TURLINGTON/ KASSAPIDIS, ROXANNE - CT",123.76,(6 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,32,"FERRERO G/ LEWANDOWSKI, EMMA - MA",110.25,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,33,"PARK PLACE/ MCBRIDE, JACQUELIN - CT",108.8,(4 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,34,"BECOMING/ LENIHAN, TESS - MA",102.5,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,35,GG TRAVELIN MAN/ GG IMPORTS - MA,101,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,36,"THE KING/ CASSIDY, ALICE - VT",99.03,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,37,"DARK DEVIL 24/ HAYTHORN, REBECCA - CT",98,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,38,"MTM MINI COOPER/ KEESLER, ANNE - MA",96.88,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,39,"WICKED/ PIPPINS, LAUREN - MA",95,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,40,"COOL AID/ STAMM, NICOLE - MA",94.88,(4 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,41,"CURB APPEAL/ SHARMA, RADHIKA - MA",87.63,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,42,"FROHLICH/ PERREAULT, SAMANTHA  - MA",87.6,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,43,"ANTIDOTE/ ANAMATEROS, CHRISTOPHER - MA",85.75,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,44,"QUINTESS/ ERNENWEIN, MONIKA - MA",84,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,,"SHERWOOD FOREST/ VICK, JESSICA - CT",84,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,46,"BIG BANG/ BURGESS, EMELIE - MA",79.9,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,47,"INZAGI/ DAYTON, GRACE - VT",79.25,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,48,"RIO'S GRAND FINALE/ BRADLEY, JULIANNA - CT",79,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,49,"QAYAL FW/ MILLER, KIMBERLY  - MA",74.5,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,50,"I'M SO SPECIAL JT/ PADER, DVORA - MA",70.5,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,51,"APRÈS SKI/ FLAHERTY, SARAH - MA",67.88,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,52,"EASY B/ GALVIN, GILLIAN - CT",67.75,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,53,"ASTERISK/ RICHARDSON, EMILY - RI",67.5,(6 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,54,"PERSEVERANCE/ CARVALHO, JENNA - CT",66.5,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,55,"LAST CALL Z/ TIMPANY, HELENA - CT",66.2,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,56,"MERANDO/ FLETCHER, KATHRYN - MA",65.75,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,57,"GIOVANNI/ GANGEMI, MARTHA - MA",62.88,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,58,"CAYMAN 40/ EQUINE INITIATIVE, LLC - MA",58.75,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,59,"CLASSIC DERBY/ NOBLE, EMILY - MA",56,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,60,"MTM SOUL KISS/ ROUSSEAU, SARA - MA",55.5,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,61,"MOST LIKELY/ GREER, KASSIDY - CT",54,(5 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,62,"APPIAN WAY/ HORNSTEIN, SHIRA - MA",53,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,63,"DUNDEE/ SANTILLI, ZOE - CT",49,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,64,"PIXEL/ ANDERSEN, BRONWYN (RONNIE) - MA",47.63,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,65,"CORTADO/ WHITLOCK, MADISON - MA",47,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,66,"HEWITT V/ DAVIS, ANNIE - NH",45.5,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,67,"THE RECRUIT/ MATOS, NICOLE - NH",38,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,68,"PL IRISH EMERALD/ SCIOLA, CARA - MA",37.5,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,69,"NOTORIOUS/ FARR, A. - CT",36,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,70,"THOMAS CROWN/ O'NEIL, SHARON - MA",34.5,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,71,"GARFIELD M/ PITMAN, CHARLOTTE H. - MA",34,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,72,"KARUSO/ ANDERSEN, BRONWYN (RONNIE) - MA",31,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,,"RADAR LOVE/ JOHNSTON, TAMARA - MA",31,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,74,"NOTORIUS/ WRIGHT START OUTSOURCING, LLC - CT",29.5,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,75,"BREWSTER/ FLETCHER, KATHRYN - MA",29,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,76,"EMERALD CITY/ DOLAN, MARISSA - MA",28.5,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,77,"GOOD LUCK/ SMITH REZAC, JAI - MA",26.5,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,78,"IMAGINE DRAGON/ RIPATRAZONE, EMMA - MA",26,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,79,"MONUMENTAL/ LANE, CLAIRE - ME",24.5,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,80,"DUNCAN/ FRANCHI, DANIELLE  - MA",24,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,81,"RAINDANCER/ REISKIN, OLIVIA - VT",23.5,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,82,"CONSTELLATION HM/ MAZZOLA, DINA - MA",17,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,83,HEDERIGGY/ SPRINGEN HORSES - CT,12,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 18-35 YEARS,84,CAMILLO/ CHESTER RIDGE LLC - NH,10.5,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,1,"CLICKBAIT/ VAN AELST, HEATHER - MA",1146.75,(19 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,2,"QUIXOTIC/ EVANS, LINDA - MA",1113.7,(19 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,3,"ALL-STAR/ MURPHY , DANIELLE - CT",764.75,(8 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,4,CASSIANO/ NIMBUS LLC - CT,653.98,(9 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,5,"SOLEIL/ BRENNAN, ERIN - CT",494.13,(9 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,6,"TUCKERMAN/ SCHENKER, EMMA - MA",353.73,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,7,"KING OF HEARTS/ HAMELINE, JESSICA - MA",290.3,(12 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,8,"DALLAS/ ROBERTS, JESSICA - MA",203.5,(4 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,9,"DONNYBROOK/ FINE, NELLEE - MA",186,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,10,"VAN KIKI/ LAVERDE, KATE - MA",185.7,(4 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,11,"JORDEN F/ KALKUT, ERICA - MA",166.75,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,12,"JUNE SAINTE HERMELLE/ KASS, CHRISTINE - RI",146.75,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,13,"MTM MOCHI/ WANGER, AMY - MA",137,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,14,"CAVENDISH/ MASTRONI, MELISSA A. - CT",126.25,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,15,"YUKON GOLD/ GO BUCK YOURSELF, LLC - CT",114.9,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,16,"CASTELLO/ DARK HARBOR FARM, LLC - MA",91.75,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,17,"HALTIC/ GRUPPOSO, OLIVIA - MA",84.5,(13 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,,"IJUMP HPF/ WALLACE, MEG - CT",84.5,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,19,"REPLAY/ COLE, COURTNEY - MA",77,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,20,"HM BEAULIEU/ D'ANDREA, KRISTINE  - CT",70,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,21,"DETROIT VINTAGE/ YARIAN, EVAN - MA",55.63,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,22,"CYRA MB Z/ SLACK, HEATHER - MA",50,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,23,"CONTADOR/ CHU, WYNATTE - CT",48.8,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,24,"FINNIGAN/ PLAISTED, STEPHANIE - ME",42,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,25,"BE SPECIAL Z/ HEUBERGER, PAM - ME",36,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,26,"DUE DILLIGENCE/ BELANGER, EMILY  - MA",34,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,27,"MISSDEMEANOR/ INGENITO, MACENZIE - CT",33,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,28,"MTM NIK/ DOUGLAS, BRIDGIT - MA",32.5,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,29,ITRAN VAN'T GOOR Z/ 158 NORTH ST LLC - MA,30.5,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 36-49,30,"ROYAL WINDSOR/ NASCIMENTO, CHRISTINA - MA",26,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,1,"OPULENT/ KRUEL, SARAH - CT",599.6,(19 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,2,"FGF JUST SAYIN'/ RUSSELL, ELIZABETH - MA",421.75,(9 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,3,"RED NOTICE/ TANANBAUM, BRENDA - CT",326.5,(7 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,4,"MARCELLO/ MASTOLONI, JILL - CT",323.25,(5 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,5,"KODIAK HARBOR/ SMITH, KIMBERLY - RI",322.01,(7 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,6,"JONSNOW/ BENSON, CELESTE - CT",307.6,(4 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,7,"THE ARTFUL DODGER/ WOESSNER, SHERRILL - CT",293.2,(5 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,8,"DONNYBROOK/ FINE, NELLEE - MA",246.5,(11 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,9,"CONFIDANTE AE/ MAHER, OMAR - NH",231.8,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,10,"CONDOR/ ELLIS, KATE - MA",224.5,(13 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,11,"BRAGGING RIGHTS/ RICHARDSON, SUE ANN - MA",187.1,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,12,"CALLIGRAPHY/ FRITSCH, ERIKA - NH",153.1,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,13,"FREEDOM/ CASH, JEANINE - MA",133.5,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,14,"GAME ON/ BRILL, LINDA - CT",129,(5 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,15,"BAMBOLINO/ MAGGIORE, JACQUELYN - MA",100,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,16,"ZARA/ MOPPETT, FRANCES - CT",99,(6 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,17,"CARLSSON/ FINERMAN, GRACE - CT",98.5,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,18,"MAXIMUS/ PERRY, JENNIFER - MA",80.5,(2 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,19,"EVARUSO/ ATAMIAN, MISH - MA",66.75,(3 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,20,"DIA CASPAR/  FISHER, JANE - CT",59,(10 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,21,"CAPITOL AFFAIRE/ MARKCROW, DAPHNE - VT",54.5,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,22,"PUMPKIN COACH/ HAINES, AMY - ME",50,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,23,"CRISP-N-COOL/ STIEDE, KATHRYN - NH",49,(1 comps)
2021 Points Display,ADULT AMATEUR HUNTER 50+ YEARS,24,"THE DIPLOMAT/ MARKCROW, DAPHNE - VT",45.5,(1 comps)
